num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;      9;  0.0152;  100.0;  100.0;  3.82e-07;
         1;  0.0000;   3;      6;  0.0099;  100.0;  100.0;  1.97e-34;
         1;  0.0000;   7; 125126;  0.7530;  100.0;  100.0;  1.48e-05;
         1;  0.0100;   1;     53;  0.0377;  100.0;  100.0;  2.71e-02;
         1;  0.0100;   3;     49;  0.0300;  100.0;  100.0;  2.71e-02;
         1;  0.0100;   7;   2751;  0.0241;   99.6;  100.0;  3.13e-02;
         1;  0.1000;   1;     21;  0.0223;  100.0;  100.0;  9.49e-02;
         1;  0.1000;   3;     16;  0.0181;  100.0;  100.0;  9.49e-02;
         1;  0.1000;   7;   2751;  0.0237;   59.6;   92.8;  2.21e-01;
         2;  0.0000;   1;    339;  0.1644;  100.0;  100.0;  9.75e-07;
         2;  0.0000;   3;    446;  0.1705;  100.0;  100.0;  1.65e-15;
         2;  0.0000;   7;   2751;  0.0242;  100.0;  100.0;  7.16e-04;
         2;  0.0100;   1;    136;  0.0765;  100.0;  100.0;  5.33e-02;
         2;  0.0100;   3;     50;  0.0293;  100.0;  100.0;  5.33e-02;
         2;  0.0100;   7;   2626;  0.0231;   97.2;  100.0;  7.24e-02;
         2;  0.1000;   1;     27;  0.0245;   94.4;   93.6;  1.35e-01;
         2;  0.1000;   3;     18;  0.0208;   94.4;   93.6;  1.35e-01;
         2;  0.1000;   7;   1876;  0.0196;   77.2;   91.6;  2.19e-01;
         3;  0.0000;   1;   1001;  0.4510;  100.0;   96.0;  1.85e-04;
         3;  0.0000;   3;    896;  0.3285;   99.2;   96.8;  8.00e-03;
         3;  0.0000;   7;   1876;  0.0190;   98.0;   98.8;  1.32e-02;
         3;  0.0100;   1;    222;  0.1131;   98.8;   97.6;  7.02e-02;
         3;  0.0100;   3;     53;  0.0321;   98.8;   97.6;  7.02e-02;
         3;  0.0100;   7;   2751;  0.0237;   84.0;   97.6;  1.53e-01;
         3;  0.1000;   1;     50;  0.0359;   96.8;   93.2;  1.62e-01;
         3;  0.1000;   3;     21;  0.0203;   96.8;   93.2;  1.62e-01;
         3;  0.1000;   7;   2751;  0.0238;   48.8;   90.8;  4.08e-01;
         4;  0.0000;   1;     54;  0.0350;  100.0;  100.0;  4.21e-07;
         4;  0.0000;   3;      5;  0.0086;  100.0;  100.0;  2.25e-22;
