num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         8;  0.0100;   7;   2126;  0.0442;   94.8;   98.8;  1.15e-01;
         8;  0.1000;   1;     55;  0.1337;   87.6;   81.6;  1.76e-01;
         8;  0.1000;   3;     21;  0.0669;   87.6;   81.6;  1.76e-01;
         8;  0.1000;   7;   2501;  0.0548;   55.2;   87.6;  2.82e-01;
         9;  0.0000;   1;   1001;  1.8604;  100.0;   98.0;  1.10e-05;
         9;  0.0000;   3;     58;  0.1065;   99.6;   98.8;  4.00e-03;
         9;  0.0000;   7;   2001;  0.0447;   99.6;   98.8;  4.21e-03;
         9;  0.0100;   1;    201;  0.4036;   99.6;   98.4;  6.09e-02;
         9;  0.0100;   3;     49;  0.0991;   99.6;   98.4;  6.09e-02;
         9;  0.0100;   7;   2001;  0.0441;   93.6;   98.8;  1.02e-01;
         9;  0.1000;   1;     54;  0.1494;   98.0;   90.4;  1.55e-01;
         9;  0.1000;   3;     20;  0.0651;   98.0;   90.4;  1.55e-01;
         9;  0.1000;   7;   2376;  0.0490;   51.2;   92.0;  4.78e-01;
         0;  0.0000;   1;    231;  0.4383;  100.0;   99.2;  8.44e-07;
         0;  0.0000;   3;      9;  0.0261;  100.0;   99.2;  1.23e-11;
         0;  0.0000;   7;  38376;  0.5401;  100.0;   99.2;  3.33e-05;
         0;  0.0100;   1;    167;  0.3620;  100.0;   99.2;  5.13e-02;
         0;  0.0100;   3;     55;  0.1172;  100.0;   99.2;  5.13e-02;
         0;  0.0100;   7;   2751;  0.0406;   99.6;   98.8;  6.73e-02;
         0;  0.1000;   1;     36;  0.1007;   99.6;   98.4;  1.45e-01;
         0;  0.1000;   3;     20;  0.0664;   99.6;   98.4;  1.45e-01;
         0;  0.1000;   7;   2751;  0.0492;   53.6;   92.4;  3.63e-01;
