num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         8;  0.0100;   7;   1201;  0.4279;   96.8;   96.9;  6.27e-02;
         8;  0.1000;   1;     21;  1.2881;   89.7;   90.3;  1.14e-01;
         8;  0.1000;   3;     18;  1.0736;   89.7;   90.3;  1.14e-01;
         8;  0.1000;   7;   1401;  0.4485;   89.7;   90.3;  1.15e-01;
         9;  0.0000;   1;   1001; 26.9978;   99.3;   99.3;  5.71e-03;
         9;  0.0000;   3;   1001; 13.7936;   90.0;   90.3;  5.11e-02;
         9;  0.0000;   7;   2601;  0.5667;   99.3;   99.2;  6.56e-03;
         9;  0.0100;   1;    116;  3.8976;   98.3;   98.8;  4.99e-02;
         9;  0.0100;   3;     49;  1.7209;   98.3;   98.8;  4.99e-02;
         9;  0.0100;   7;   2301;  0.5343;   98.2;   98.7;  4.99e-02;
         9;  0.1000;   1;     23;  1.3689;   89.7;   90.0;  1.09e-01;
         9;  0.1000;   3;     17;  1.0269;   89.7;   90.0;  1.09e-01;
         9;  0.1000;   7;   1201;  0.4272;   89.7;   90.0;  1.09e-01;
         0;  0.0000;   1;   1001; 27.0915;   99.7;   99.7;  2.69e-03;
         0;  0.0000;   3;   1001; 17.7043;   99.6;   99.6;  3.00e-03;
         0;  0.0000;   7;   6701;  0.9813;   99.6;   99.7;  3.05e-03;
         0;  0.0100;   1;     98;  3.5291;   98.9;   99.2;  4.18e-02;
         0;  0.0100;   3;     61;  2.0683;   98.9;   99.2;  4.18e-02;
         0;  0.0100;   7;   2701;  0.5765;   98.9;   99.2;  4.18e-02;
         0;  0.1000;   1;     27;  1.4953;   90.2;   90.7;  1.02e-01;
         0;  0.1000;   3;     18;  1.0747;   90.2;   90.7;  1.02e-01;
         0;  0.1000;   7;   3301;  0.6372;   90.2;   90.7;  1.02e-01;
