num_target;      la; isd;  niter;     tex; tr_acc; te_acc;        L*;
         1;  0.0000;   1;      7;  0.0130;  100.0;  100.0;  5.70e-08;
         1;  0.0000;   3;      6;  0.0114;  100.0;  100.0;  9.93e-52;
         1;  0.0000;   7; 125001;  0.7486;  100.0;  100.0;  1.07e-05;
         1;  0.0100;   1;     48;  0.0353;  100.0;  100.0;  2.63e-02;
         1;  0.0100;   3;     51;  0.0319;  100.0;  100.0;  2.63e-02;
         1;  0.0100;   7;   1751;  0.0180;  100.0;  100.0;  2.73e-02;
         1;  0.1000;   1;     25;  0.0257;  100.0;  100.0;  9.44e-02;
         1;  0.1000;   3;     15;  0.0183;  100.0;  100.0;  9.44e-02;
         1;  0.1000;   7;   1751;  0.0176;   94.8;   98.8;  1.42e-01;
         2;  0.0000;   1;    288;  0.1363;  100.0;   99.2;  1.01e-06;
         2;  0.0000;   3;     20;  0.0149;  100.0;   98.4;  2.30e-26;
         2;  0.0000;   7;   1876;  0.0185;  100.0;  100.0;  1.16e-03;
         2;  0.0100;   1;    127;  0.0717;  100.0;   98.4;  4.69e-02;
         2;  0.0100;   3;     54;  0.0347;  100.0;   98.4;  4.69e-02;
         2;  0.0100;   7;   2751;  0.0243;   98.4;  100.0;  5.74e-02;
         2;  0.1000;   1;     36;  0.0298;   96.0;   90.4;  1.25e-01;
         2;  0.1000;   3;     19;  0.0211;   96.0;   90.4;  1.25e-01;
         2;  0.1000;   7;   1376;  0.0156;   46.4;   90.4;  3.18e-01;
         3;  0.0000;   1;   1001;  0.4430;  100.0;   94.8;  1.12e-04;
         3;  0.0000;   3;     30;  0.0187;   98.4;   97.6;  1.60e-02;
         3;  0.0000;   7;   1376;  0.0157;   99.2;   98.0;  1.23e-02;
         3;  0.0100;   1;    223;  0.1119;   99.2;   97.6;  7.12e-02;
         3;  0.0100;   3;     51;  0.0305;   99.2;   97.6;  7.12e-02;
         3;  0.0100;   7;   1751;  0.0179;   94.4;   97.6;  9.84e-02;
         3;  0.1000;   1;     48;  0.0345;   97.2;   94.8;  1.65e-01;
         3;  0.1000;   3;     18;  0.0187;   97.2;   94.8;  1.65e-01;
         3;  0.1000;   7;   1626;  0.0171;   49.6;   91.6;  3.95e-01;
         4;  0.0000;   1;     47;  0.0321;  100.0;  100.0;  4.24e-07;
         4;  0.0000;   3;      5;  0.0087;  100.0;  100.0;  1.63e-15;
         4;  0.0000;   7; 125001;  0.7445;  100.0;  100.0;  9.57e-06;
         4;  0.0100;   1;     55;  0.0377;  100.0;  100.0;  2.43e-02;
         4;  0.0100;   3;     49;  0.0297;  100.0;  100.0;  2.43e-02;
         4;  0.0100;   7;   3126;  0.0257;  100.0;  100.0;  3.20e-02;
         4;  0.1000;   1;     22;  0.0225;  100.0;  100.0;  8.85e-02;
         4;  0.1000;   3;     17;  0.0197;  100.0;  100.0;  8.85e-02;
         4;  0.1000;   7;   2251;  0.0207;   97.2;   99.6;  1.30e-01;
         5;  0.0000;   1;    198;  0.1013;  100.0;   99.6;  8.15e-07;
         5;  0.0000;   3;      6;  0.0096;  100.0;   99.6;  2.20e-09;
         5;  0.0000;   7;   1376;  0.0160;   99.6;   99.6;  5.79e-03;
         5;  0.0100;   1;    118;  0.0659;  100.0;   99.6;  3.54e-02;
         5;  0.0100;   3;     46;  0.0291;  100.0;   99.6;  3.54e-02;
         5;  0.0100;   7;   2751;  0.0236;   99.6;   99.2;  4.46e-02;
         5;  0.1000;   1;     36;  0.0294;  100.0;   99.6;  1.12e-01;
         5;  0.1000;   3;     17;  0.0190;  100.0;   99.6;  1.12e-01;
         5;  0.1000;   7;   1501;  0.0163;   98.0;   99.2;  1.48e-01;
         6;  0.0000;   1;    246;  0.1213;  100.0;   99.2;  1.17e-06;
         6;  0.0000;   3;    125;  0.0520;  100.0;   98.4;  2.46e-07;
         6;  0.0000;   7;   1376;  0.0156;   99.6;   99.6;  5.26e-03;
         6;  0.0100;   1;    133;  0.0733;  100.0;   99.6;  4.38e-02;
         6;  0.0100;   3;     46;  0.0294;  100.0;   99.6;  4.38e-02;
         6;  0.0100;   7;   4126;  0.0318;   98.4;  100.0;  5.83e-02;
